# id: 'quast_custom'
# section_name: 'CLUSTER: Quast'
# format: 'tsv'
# description: 'QUAST is a quality assessment tool for genome assemblies, written by the Center for Algorithmic Biotechnology.DOI: 10.1093/bioinformatics/btt086.'
"(quast) Assembly"	"(quast) # contigs (>= 0 bp)"	"(quast) # contigs (>= 1000 bp)"	"(quast) # contigs (>= 5000 bp)"	"(quast) # contigs (>= 10000 bp)"	"(quast) # contigs (>= 25000 bp)"	"(quast) # contigs (>= 50000 bp)"	"(quast) Total length (>= 0 bp)"	"(quast) Total length (>= 1000 bp)"	"(quast) Total length (>= 5000 bp)"	"(quast) Total length (>= 10000 bp)"	"(quast) Total length (>= 25000 bp)"	"(quast) Total length (>= 50000 bp)"	"(quast) # contigs"	"(quast) Largest contig"	"(quast) Total length"	"(quast) GC (%)"	"(quast) N50"	"(quast) N90"	"(quast) auN"	"(quast) L50"	"(quast) L90"	"(quast) # N's per 100 kbp"	"sample"	"cluster"	"step"
"Jaime-MZ766668_cl1_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9010"	"9010"	"9010"	"0"	"0"	"0"	"1"	"9010"	"9010"	"41.64"	"9010"	"9010"	"9010.0"	"1"	"1"	"0.00"	"Jaime-MZ766668"	"cl1"	"it1"
"Arya-reference_cl1_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"8934"	"8934"	"8934"	"0"	"0"	"0"	"1"	"8934"	"8934"	"38.67"	"8934"	"8934"	"8934.0"	"1"	"1"	"11.19"	"Arya-reference"	"cl1"	"it1"
"Jon-virosaurus_cl5_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9074"	"9074"	"9074"	"0"	"0"	"0"	"1"	"9074"	"9074"	"41.53"	"9074"	"9074"	"9074.0"	"1"	"1"	"341.64"	"Jon-virosaurus"	"cl5"	"it1"
"Daenerys-MN090277-MZ766668_cl0_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9232"	"9232"	"9232"	"0"	"0"	"0"	"1"	"9232"	"9232"	"41.83"	"9232"	"9232"	"9232.0"	"1"	"1"	"10.83"	"Daenerys-MN090277-MZ766668"	"cl0"	"it1"
"Daenerys-virosaurus_cl3_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9818"	"9818"	"9818"	"0"	"0"	"0"	"1"	"9818"	"9818"	"42.07"	"9818"	"9818"	"9818.0"	"1"	"1"	"4094.52"	"Daenerys-virosaurus"	"cl3"	"it1"
"Jaime-reference_cl1_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9013"	"9013"	"9013"	"0"	"0"	"0"	"1"	"9013"	"9013"	"41.61"	"9013"	"9013"	"9013.0"	"1"	"1"	"0.00"	"Jaime-reference"	"cl1"	"it1"
"Jorah-virosaurus_cl4_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9050"	"9050"	"9050"	"0"	"0"	"0"	"1"	"9050"	"9050"	"41.57"	"9050"	"9050"	"9050.0"	"1"	"1"	"618.78"	"Jorah-virosaurus"	"cl4"	"it1"
"Bran-MN090240_cl0_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9022"	"9022"	"9022"	"0"	"0"	"0"	"1"	"9022"	"9022"	"41.50"	"9022"	"9022"	"9022.0"	"1"	"1"	"232.76"	"Bran-MN090240"	"cl0"	"it1"
"Rickon-virosaurus_cl0_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9074"	"9074"	"9074"	"0"	"0"	"0"	"1"	"9074"	"9074"	"41.44"	"9074"	"9074"	"9074.0"	"1"	"1"	"374.70"	"Rickon-virosaurus"	"cl0"	"it1"
"Rickon-reference_cl0_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9083"	"9083"	"9083"	"0"	"0"	"0"	"1"	"9083"	"9083"	"41.45"	"9083"	"9083"	"9083.0"	"1"	"1"	"319.28"	"Rickon-reference"	"cl0"	"it1"
"Eddard-reference_cl0_it1.consensus"	"1"	"1"	"1"	"1"	"0"	"0"	"12417"	"12417"	"12417"	"12417"	"0"	"0"	"1"	"12417"	"12417"	"41.31"	"12417"	"12417"	"12417.0"	"1"	"1"	"5073.69"	"Eddard-reference"	"cl0"	"it1"
"Daenerys-reference_cl2_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9529"	"9529"	"9529"	"0"	"0"	"0"	"1"	"9529"	"9529"	"41.45"	"9529"	"9529"	"9529.0"	"1"	"1"	"5467.52"	"Daenerys-reference"	"cl2"	"it1"
"Robb-virosaurus_cl0_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9083"	"9083"	"9083"	"0"	"0"	"0"	"1"	"9083"	"9083"	"41.47"	"9083"	"9083"	"9083.0"	"1"	"1"	"198.17"	"Robb-virosaurus"	"cl0"	"it1"
"Jaime-virosaurus_cl1_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9916"	"9916"	"9916"	"0"	"0"	"0"	"1"	"9916"	"9916"	"42.31"	"9916"	"9916"	"9916.0"	"1"	"1"	"3670.84"	"Jaime-virosaurus"	"cl1"	"it1"
"Jorah-reference_cl0_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9011"	"9011"	"9011"	"0"	"0"	"0"	"1"	"9011"	"9011"	"41.59"	"9011"	"9011"	"9011.0"	"1"	"1"	"11.10"	"Jorah-reference"	"cl0"	"it1"
"Bran-MN090277_cl0_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9232"	"9232"	"9232"	"0"	"0"	"0"	"1"	"9232"	"9232"	"41.83"	"9232"	"9232"	"9232.0"	"1"	"1"	"10.83"	"Bran-MN090277"	"cl0"	"it1"
"Bran-virosaurus_cl0_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9074"	"9074"	"9074"	"0"	"0"	"0"	"1"	"9074"	"9074"	"41.53"	"9074"	"9074"	"9074.0"	"1"	"1"	"341.64"	"Bran-virosaurus"	"cl0"	"it1"
"Daenerys-virosaurus_cl0_it1.consensus"	"1"	"1"	"1"	"1"	"0"	"0"	"10496"	"10496"	"10496"	"10496"	"0"	"0"	"1"	"10496"	"10496"	"40.39"	"10496"	"10496"	"10496.0"	"1"	"1"	"5078.12"	"Daenerys-virosaurus"	"cl0"	"it1"
"Bran-MN090277-MZ766668_cl0_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9232"	"9232"	"9232"	"0"	"0"	"0"	"1"	"9232"	"9232"	"41.83"	"9232"	"9232"	"9232.0"	"1"	"1"	"10.83"	"Bran-MN090277-MZ766668"	"cl0"	"it1"
"Sansa-virosaurus_cl8_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"8960"	"8960"	"8960"	"0"	"0"	"0"	"1"	"8960"	"8960"	"38.90"	"8960"	"8960"	"8960.0"	"1"	"1"	"5267.86"	"Sansa-virosaurus"	"cl8"	"it1"
"Theon-virosaurus_cl0_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9288"	"9288"	"9288"	"0"	"0"	"0"	"1"	"9288"	"9288"	"38.86"	"9288"	"9288"	"9288.0"	"1"	"1"	"3165.37"	"Theon-virosaurus"	"cl0"	"it1"
"Daenerys-reference_cl0_it1.consensus"	"1"	"1"	"1"	"1"	"0"	"0"	"12422"	"12422"	"12422"	"12422"	"0"	"0"	"1"	"12422"	"12422"	"41.23"	"12422"	"12422"	"12422.0"	"1"	"1"	"1513.44"	"Daenerys-reference"	"cl0"	"it1"
"Daenerys-virosaurus_cl15_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9074"	"9074"	"9074"	"0"	"0"	"0"	"1"	"9074"	"9074"	"41.53"	"9074"	"9074"	"9074.0"	"1"	"1"	"341.64"	"Daenerys-virosaurus"	"cl15"	"it1"
"Catelyn-reference_cl0_it1.consensus"	"1"	"1"	"1"	"1"	"0"	"0"	"12418"	"12418"	"12418"	"12418"	"0"	"0"	"1"	"12418"	"12418"	"41.17"	"12418"	"12418"	"12418.0"	"1"	"1"	"1626.67"	"Catelyn-reference"	"cl0"	"it1"
"Catelyn-virosaurus_cl1_it2.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9693"	"9693"	"9693"	"0"	"0"	"0"	"1"	"9693"	"9693"	"41.47"	"9693"	"9693"	"9693.0"	"1"	"1"	"6355.10"	"Catelyn-virosaurus"	"cl1"	"it2"
"Jon-reference_cl0_it2.consensus"	"1"	"1"	"1"	"1"	"0"	"0"	"12414"	"12414"	"12414"	"12414"	"0"	"0"	"1"	"12414"	"12414"	"41.01"	"12414"	"12414"	"12414.0"	"1"	"1"	"177.22"	"Jon-reference"	"cl0"	"it2"
"Tyrion-reference_cl1_it2.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9065"	"9065"	"9065"	"0"	"0"	"0"	"1"	"9065"	"9065"	"41.72"	"9065"	"9065"	"9065.0"	"1"	"1"	"0.00"	"Tyrion-reference"	"cl1"	"it2"
"Theon-MN090240_cl0_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9015"	"9015"	"9015"	"0"	"0"	"0"	"1"	"9015"	"9015"	"38.90"	"9015"	"9015"	"9015.0"	"1"	"1"	"11.09"	"Theon-MN090240"	"cl0"	"it1"
"Sansa-reference_cl0_it2.consensus"	"1"	"1"	"1"	"1"	"0"	"0"	"12408"	"12408"	"12408"	"12408"	"0"	"0"	"1"	"12408"	"12408"	"39.96"	"12408"	"12408"	"12408.0"	"1"	"1"	"177.30"	"Sansa-reference"	"cl0"	"it2"
"Robb-MN090277-MN090188_cl0_it2.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9056"	"9056"	"9056"	"0"	"0"	"0"	"1"	"9056"	"9056"	"41.46"	"9056"	"9056"	"9056.0"	"1"	"1"	"0.00"	"Robb-MN090277-MN090188"	"cl0"	"it2"
"Sansa-virosaurus_cl4_it2.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9298"	"9298"	"9298"	"0"	"0"	"0"	"1"	"9298"	"9298"	"39.50"	"9298"	"9298"	"9298.0"	"1"	"1"	"2441.39"	"Sansa-virosaurus"	"cl4"	"it2"
"Jon-virosaurus_cl5_it2.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9074"	"9074"	"9074"	"0"	"0"	"0"	"1"	"9074"	"9074"	"41.54"	"9074"	"9074"	"9074.0"	"1"	"1"	"319.59"	"Jon-virosaurus"	"cl5"	"it2"
"Tyrion-MZ766668_cl0_it2.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9591"	"9591"	"9591"	"0"	"0"	"0"	"1"	"9591"	"9591"	"42.00"	"9591"	"9591"	"9591.0"	"1"	"1"	"0.00"	"Tyrion-MZ766668"	"cl0"	"it2"
"Jon-reference_cl3_it2.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9064"	"9064"	"9064"	"0"	"0"	"0"	"1"	"9064"	"9064"	"41.55"	"9064"	"9064"	"9064.0"	"1"	"1"	"0.00"	"Jon-reference"	"cl3"	"it2"
"Tyrion-MN090277-MZ766668_cl1_it2.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9005"	"9005"	"9005"	"0"	"0"	"0"	"1"	"9005"	"9005"	"41.63"	"9005"	"9005"	"9005.0"	"1"	"1"	"0.00"	"Tyrion-MN090277-MZ766668"	"cl1"	"it2"
"Daenerys-MZ766668_cl0_it2.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9590"	"9590"	"9590"	"0"	"0"	"0"	"1"	"9590"	"9590"	"41.80"	"9590"	"9590"	"9590.0"	"1"	"1"	"437.96"	"Daenerys-MZ766668"	"cl0"	"it2"
"Catelyn-MN090277-MN090188_cl0_it2.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9235"	"9235"	"9235"	"0"	"0"	"0"	"1"	"9235"	"9235"	"41.76"	"9235"	"9235"	"9235.0"	"1"	"1"	"10.83"	"Catelyn-MN090277-MN090188"	"cl0"	"it2"
"Sansa-MN090277-MN090240_cl0_it2.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9229"	"9229"	"9229"	"0"	"0"	"0"	"1"	"9229"	"9229"	"39.98"	"9229"	"9229"	"9229.0"	"1"	"1"	"21.67"	"Sansa-MN090277-MN090240"	"cl0"	"it2"
"Daenerys-MN090277-MZ766668_cl1_it2.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"8995"	"8995"	"8995"	"0"	"0"	"0"	"1"	"8995"	"8995"	"41.57"	"8995"	"8995"	"8995.0"	"1"	"1"	"0.00"	"Daenerys-MN090277-MZ766668"	"cl1"	"it2"
"Sansa-MN090277_cl0_it2.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9229"	"9229"	"9229"	"0"	"0"	"0"	"1"	"9229"	"9229"	"39.98"	"9229"	"9229"	"9229.0"	"1"	"1"	"21.67"	"Sansa-MN090277"	"cl0"	"it2"
"Robb-reference_cl1_it2.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9064"	"9064"	"9064"	"0"	"0"	"0"	"1"	"9064"	"9064"	"41.46"	"9064"	"9064"	"9064.0"	"1"	"1"	"0.00"	"Robb-reference"	"cl1"	"it2"
"Arya-virosaurus_cl0_it2.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9067"	"9067"	"9067"	"0"	"0"	"0"	"1"	"9067"	"9067"	"38.91"	"9067"	"9067"	"9067.0"	"1"	"1"	"319.84"	"Arya-virosaurus"	"cl0"	"it2"
"Jorah-MN090277-MZ766668_cl1_it2.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9011"	"9011"	"9011"	"0"	"0"	"0"	"1"	"9011"	"9011"	"41.59"	"9011"	"9011"	"9011.0"	"1"	"1"	"11.10"	"Jorah-MN090277-MZ766668"	"cl1"	"it2"
"Jorah-MN090277_cl1_it2.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9010"	"9010"	"9010"	"0"	"0"	"0"	"1"	"9010"	"9010"	"41.59"	"9010"	"9010"	"9010.0"	"1"	"1"	"0.00"	"Jorah-MN090277"	"cl1"	"it2"
"Daenerys-virosaurus_cl3_it2.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9802"	"9802"	"9802"	"0"	"0"	"0"	"1"	"9802"	"9802"	"41.98"	"9802"	"9802"	"9802.0"	"1"	"1"	"5713.12"	"Daenerys-virosaurus"	"cl3"	"it2"
"Tyrion-MN090277_cl1_it2.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9089"	"9089"	"9089"	"0"	"0"	"0"	"1"	"9089"	"9089"	"41.84"	"9089"	"9089"	"9089.0"	"1"	"1"	"0.00"	"Tyrion-MN090277"	"cl1"	"it2"
"Jon-reference_cl1_it2.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9776"	"9776"	"9776"	"0"	"0"	"0"	"1"	"9776"	"9776"	"42.15"	"9776"	"9776"	"9776.0"	"1"	"1"	"4848.61"	"Jon-reference"	"cl1"	"it2"
"Sansa-virosaurus_cl1_it2.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9771"	"9771"	"9771"	"0"	"0"	"0"	"1"	"9771"	"9771"	"40.26"	"9771"	"9771"	"9771.0"	"1"	"1"	"2988.44"	"Sansa-virosaurus"	"cl1"	"it2"
"Eddard-MN090277-MN090188_cl0_it2.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9232"	"9232"	"9232"	"0"	"0"	"0"	"1"	"9232"	"9232"	"41.83"	"9232"	"9232"	"9232.0"	"1"	"1"	"10.83"	"Eddard-MN090277-MN090188"	"cl0"	"it2"
"Jorah-MZ766668_cl0_it2.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9011"	"9011"	"9011"	"0"	"0"	"0"	"1"	"9011"	"9011"	"41.59"	"9011"	"9011"	"9011.0"	"1"	"1"	"11.10"	"Jorah-MZ766668"	"cl0"	"it2"
"Jaime-MN090277_cl1_it2.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9006"	"9006"	"9006"	"0"	"0"	"0"	"1"	"9006"	"9006"	"41.65"	"9006"	"9006"	"9006.0"	"1"	"1"	"0.00"	"Jaime-MN090277"	"cl1"	"it2"
"Eddard-MN090188_cl0_it2.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9056"	"9056"	"9056"	"0"	"0"	"0"	"1"	"9056"	"9056"	"41.55"	"9056"	"9056"	"9056.0"	"1"	"1"	"0.00"	"Eddard-MN090188"	"cl0"	"it2"
"Arya-MN090277-MN090240_cl0_it2.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9225"	"9225"	"9225"	"0"	"0"	"0"	"1"	"9225"	"9225"	"39.25"	"9225"	"9225"	"9225.0"	"1"	"1"	"10.84"	"Arya-MN090277-MN090240"	"cl0"	"it2"
"Robb-MN090188_cl0_it2.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9056"	"9056"	"9056"	"0"	"0"	"0"	"1"	"9056"	"9056"	"41.46"	"9056"	"9056"	"9056.0"	"1"	"1"	"0.00"	"Robb-MN090188"	"cl0"	"it2"
"Daenerys-MN090277_cl1_it2.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"8986"	"8986"	"8986"	"0"	"0"	"0"	"1"	"8986"	"8986"	"41.56"	"8986"	"8986"	"8986.0"	"1"	"1"	"0.00"	"Daenerys-MN090277"	"cl1"	"it2"
"Daenerys-reference_cl1_it2.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9064"	"9064"	"9064"	"0"	"0"	"0"	"1"	"9064"	"9064"	"41.55"	"9064"	"9064"	"9064.0"	"1"	"1"	"0.00"	"Daenerys-reference"	"cl1"	"it2"
"Theon-reference_cl0_it2.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9288"	"9288"	"9288"	"0"	"0"	"0"	"1"	"9288"	"9288"	"38.86"	"9288"	"9288"	"9288.0"	"1"	"1"	"3143.84"	"Theon-reference"	"cl0"	"it2"
"Jorah-reference_cl0_it2.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9011"	"9011"	"9011"	"0"	"0"	"0"	"1"	"9011"	"9011"	"41.59"	"9011"	"9011"	"9011.0"	"1"	"1"	"11.10"	"Jorah-reference"	"cl0"	"it2"
"Rickon-MN090277_cl0_it2.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9232"	"9232"	"9232"	"0"	"0"	"0"	"1"	"9232"	"9232"	"41.46"	"9232"	"9232"	"9232.0"	"1"	"1"	"1917.24"	"Rickon-MN090277"	"cl0"	"it2"
"Tyrion-MZ766668_cl1_it2.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9005"	"9005"	"9005"	"0"	"0"	"0"	"1"	"9005"	"9005"	"41.63"	"9005"	"9005"	"9005.0"	"1"	"1"	"0.00"	"Tyrion-MZ766668"	"cl1"	"it2"
"Bran-MZ766668_cl0_it2.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9590"	"9590"	"9590"	"0"	"0"	"0"	"1"	"9590"	"9590"	"41.80"	"9590"	"9590"	"9590.0"	"1"	"1"	"0.00"	"Bran-MZ766668"	"cl0"	"it2"
"Daenerys-MZ766668_cl1_it2.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"8995"	"8995"	"8995"	"0"	"0"	"0"	"1"	"8995"	"8995"	"41.57"	"8995"	"8995"	"8995.0"	"1"	"1"	"0.00"	"Daenerys-MZ766668"	"cl1"	"it2"
"Catelyn-virosaurus_cl0_it2.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9768"	"9768"	"9768"	"0"	"0"	"0"	"1"	"9768"	"9768"	"41.47"	"9768"	"9768"	"9768.0"	"1"	"1"	"7135.54"	"Catelyn-virosaurus"	"cl0"	"it2"
"Eddard-reference_cl1_it2.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9064"	"9064"	"9064"	"0"	"0"	"0"	"1"	"9064"	"9064"	"41.55"	"9064"	"9064"	"9064.0"	"1"	"1"	"0.00"	"Eddard-reference"	"cl1"	"it2"
"Tyrion-reference_cl2_it2.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9526"	"9526"	"9526"	"0"	"0"	"0"	"1"	"9526"	"9526"	"41.65"	"9526"	"9526"	"9526.0"	"1"	"1"	"5469.24"	"Tyrion-reference"	"cl2"	"it2"
"Bran-virosaurus_cl0_it2.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9074"	"9074"	"9074"	"0"	"0"	"0"	"1"	"9074"	"9074"	"41.54"	"9074"	"9074"	"9074.0"	"1"	"1"	"319.59"	"Bran-virosaurus"	"cl0"	"it2"
"Bran-MN090277_cl0_it2.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9232"	"9232"	"9232"	"0"	"0"	"0"	"1"	"9232"	"9232"	"41.83"	"9232"	"9232"	"9232.0"	"1"	"1"	"10.83"	"Bran-MN090277"	"cl0"	"it2"
"Rickon-MN090277-MN090188_cl0_it2.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9232"	"9232"	"9232"	"0"	"0"	"0"	"1"	"9232"	"9232"	"41.46"	"9232"	"9232"	"9232.0"	"1"	"1"	"1917.24"	"Rickon-MN090277-MN090188"	"cl0"	"it2"
"Tyrion-virosaurus_cl17_it2.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9074"	"9074"	"9074"	"0"	"0"	"0"	"1"	"9074"	"9074"	"41.69"	"9074"	"9074"	"9074.0"	"1"	"1"	"319.59"	"Tyrion-virosaurus"	"cl17"	"it2"
"Robb-MN090277_cl0_it2.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9232"	"9232"	"9232"	"0"	"0"	"0"	"1"	"9232"	"9232"	"41.74"	"9232"	"9232"	"9232.0"	"1"	"1"	"10.83"	"Robb-MN090277"	"cl0"	"it2"
"Arya-reference_cl0_it1.consensus"	"1"	"1"	"1"	"1"	"0"	"0"	"12402"	"12402"	"12402"	"12402"	"0"	"0"	"1"	"12402"	"12402"	"38.83"	"12402"	"12402"	"12402.0"	"1"	"1"	"193.52"	"Arya-reference"	"cl0"	"it1"
"Bran-MN090277-MN090240_cl0_it2.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9232"	"9232"	"9232"	"0"	"0"	"0"	"1"	"9232"	"9232"	"41.83"	"9232"	"9232"	"9232.0"	"1"	"1"	"10.83"	"Bran-MN090277-MN090240"	"cl0"	"it2"
"Theon-MN090277-MN090240_cl0_it2.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9225"	"9225"	"9225"	"0"	"0"	"0"	"1"	"9225"	"9225"	"38.86"	"9225"	"9225"	"9225.0"	"1"	"1"	"2482.38"	"Theon-MN090277-MN090240"	"cl0"	"it2"
"Jaime-MN090277-MZ766668_cl1_it2.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9008"	"9008"	"9008"	"0"	"0"	"0"	"1"	"9008"	"9008"	"41.65"	"9008"	"9008"	"9008.0"	"1"	"1"	"0.00"	"Jaime-MN090277-MZ766668"	"cl1"	"it2"
"Daenerys-MN090277_cl0_it2.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9232"	"9232"	"9232"	"0"	"0"	"0"	"1"	"9232"	"9232"	"41.83"	"9232"	"9232"	"9232.0"	"1"	"1"	"10.83"	"Daenerys-MN090277"	"cl0"	"it2"
"Daenerys-virosaurus_cl15_it2.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9074"	"9074"	"9074"	"0"	"0"	"0"	"1"	"9074"	"9074"	"41.54"	"9074"	"9074"	"9074.0"	"1"	"1"	"319.59"	"Daenerys-virosaurus"	"cl15"	"it2"
"Catelyn-reference_cl1_it2.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9298"	"9298"	"9298"	"0"	"0"	"0"	"1"	"9298"	"9298"	"41.48"	"9298"	"9298"	"9298.0"	"1"	"1"	"2441.39"	"Catelyn-reference"	"cl1"	"it2"
"Eddard-reference_cl0_it2.consensus"	"1"	"1"	"1"	"1"	"0"	"0"	"12417"	"12417"	"12417"	"12417"	"0"	"0"	"1"	"12417"	"12417"	"41.32"	"12417"	"12417"	"12417.0"	"1"	"1"	"5033.42"	"Eddard-reference"	"cl0"	"it2"
"Catelyn-MN090277_cl0_it2.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9235"	"9235"	"9235"	"0"	"0"	"0"	"1"	"9235"	"9235"	"41.76"	"9235"	"9235"	"9235.0"	"1"	"1"	"10.83"	"Catelyn-MN090277"	"cl0"	"it2"
"Daenerys-virosaurus_cl0_it2.consensus"	"1"	"1"	"1"	"1"	"0"	"0"	"10460"	"10460"	"10460"	"10460"	"0"	"0"	"1"	"10460"	"10460"	"40.52"	"10460"	"10460"	"10460.0"	"1"	"1"	"3594.65"	"Daenerys-virosaurus"	"cl0"	"it2"
"Jaime-virosaurus_cl0_it2.consensus"	"1"	"1"	"1"	"1"	"0"	"0"	"10463"	"10463"	"10463"	"10463"	"0"	"0"	"1"	"10463"	"10463"	"40.48"	"10463"	"10463"	"10463.0"	"1"	"1"	"5543.34"	"Jaime-virosaurus"	"cl0"	"it2"
"Jaime-reference_cl1_it2.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"8999"	"8999"	"8999"	"0"	"0"	"0"	"1"	"8999"	"8999"	"41.56"	"8999"	"8999"	"8999.0"	"1"	"1"	"0.00"	"Jaime-reference"	"cl1"	"it2"
"Jaime-MZ766668_cl1_it2.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9008"	"9008"	"9008"	"0"	"0"	"0"	"1"	"9008"	"9008"	"41.65"	"9008"	"9008"	"9008.0"	"1"	"1"	"0.00"	"Jaime-MZ766668"	"cl1"	"it2"
"Jaime-reference_cl2_it2.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9338"	"9338"	"9338"	"0"	"0"	"0"	"1"	"9338"	"9338"	"41.44"	"9338"	"9338"	"9338.0"	"1"	"1"	"5579.35"	"Jaime-reference"	"cl2"	"it2"
"Arya-MN090277_cl0_it2.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9225"	"9225"	"9225"	"0"	"0"	"0"	"1"	"9225"	"9225"	"39.25"	"9225"	"9225"	"9225.0"	"1"	"1"	"10.84"	"Arya-MN090277"	"cl0"	"it2"
"Rickon-reference_cl0_it2.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9083"	"9083"	"9083"	"0"	"0"	"0"	"1"	"9083"	"9083"	"41.45"	"9083"	"9083"	"9083.0"	"1"	"1"	"319.28"	"Rickon-reference"	"cl0"	"it2"
"Theon-MN090240_cl0_it2.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9015"	"9015"	"9015"	"0"	"0"	"0"	"1"	"9015"	"9015"	"38.90"	"9015"	"9015"	"9015.0"	"1"	"1"	"11.09"	"Theon-MN090240"	"cl0"	"it2"
"Bran-reference_cl0_it2.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9064"	"9064"	"9064"	"0"	"0"	"0"	"1"	"9064"	"9064"	"41.55"	"9064"	"9064"	"9064.0"	"1"	"1"	"0.00"	"Bran-reference"	"cl0"	"it2"
"Jaime-MN090277-MZ766668_cl0_it2.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9173"	"9173"	"9173"	"0"	"0"	"0"	"1"	"9173"	"9173"	"41.75"	"9173"	"9173"	"9173.0"	"1"	"1"	"10.90"	"Jaime-MN090277-MZ766668"	"cl0"	"it2"
"Catelyn-reference_cl0_it2.consensus"	"1"	"1"	"1"	"1"	"0"	"0"	"12418"	"12418"	"12418"	"12418"	"0"	"0"	"1"	"12418"	"12418"	"41.18"	"12418"	"12418"	"12418.0"	"1"	"1"	"1844.10"	"Catelyn-reference"	"cl0"	"it2"
