Accession,Organism_Name,GenBank_RefSeq,Assembly,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Pangolin,PangoVersions,Surveillance_Sampling,Isolate,Species,Genus,Family,Molecule_type,Length,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject,GenBank_Title
OR438786,Severe acute respiratory syndrome coronavirus 2,GenBank,,SRR25635103,"Jost,M., Romero,A., Williams,L., Hecht,J., Rincon,C., Oh,B., Thomas,M., Lu,J., Sun,Y., Schroeder,C., Kubin,G., Respress,J., Partridge,M.","Texas Department of State Health Services-SARS-CoV-2 submission group, Laboratory Services Section",USA,2023-08-15,FL.1.5.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,TX-DSHS-25929,Betacoronavirus pandemicum,Betacoronavirus,Coronaviridae,ssRNA(+),29650,partial,,,,USA: Texas,USA,TX,Homo sapiens,oronasopharynx,2023-07-24,SAMN36984467,PRJNA639066,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/TX-DSHS-25929/2023 ORF1ab polyprotein (ORF1ab) gene, partial cds; ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), and ORF7a protein (ORF7a) genes, complete cds; ORF7b (ORF7b) gene, partial cds; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds"
OP639709,Severe acute respiratory syndrome coronavirus 2,GenBank,,,"Cokerton,S., Gebbie,C., Patel,D., Rachel,B., SallyAnn,H., Olivia,S., Ren,X., Storey,M., Freed,N., Faisal,M., Wang,J., Perez,H., Werno,A., van der Linden,A., Upton,A., Mansell,C., Hammer,D., Drinkovic,D., McAuliffe,G., Sofia,H., Roberts,S., Morpeth,S., Taylor,S., Blackmore,T., Stahyendran,V., Playle,V., Hope,V., Smit,E., Jelly,L., Winter,D., deLigt,J.","Institute of Environmental Science and Research, Health & Environment",New Zealand,2022-10-14,unclassifiable,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,22CV2481,Betacoronavirus pandemicum,Betacoronavirus,Coronaviridae,ssRNA(+),29713,partial,,,,New Zealand,New Zealand,,Homo sapiens,oronasopharynx,2022-02-23,,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NZL/22CV2481/2022 ORF1ab polyprotein (ORF1ab) gene, partial cds; ORF1a polyprotein (ORF1ab) gene, complete cds; surface glycoprotein (S) gene, partial cds; ORF3a protein (ORF3a) and envelope protein (E) genes, complete cds; membrane glycoprotein (M) and nucleocapsid phosphoprotein (N) genes, partial cds; and ORF10 protein (ORF10) gene, complete cds"
OV939075,Severe acute respiratory syndrome coronavirus 2,GenBank,,ERR8559431,"Wynn,J., Hyland,M., The Lighthouse Lab in Alderley,Park., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,2022-02-23,BA.1.1.15,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29873,partial,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,2022-02-02,SAMEA12974458,PRJEB37886,"Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
OM790083,Severe acute respiratory syndrome coronavirus 2,GenBank,,SRR19830071,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Gao,H., Li,M., Gao,J., Fierro,J., Sapra,B., Tsai,B., Meng,Y., Ng,D., Xie,J., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2022-02-23,BA.1.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,true,CA-CDC-FG-273430,Betacoronavirus pandemicum,Betacoronavirus,Coronaviridae,ssRNA(+),29811,complete,,,,USA: California,USA,CA,Homo sapiens,oronasopharynx,2022-02-04,SAMN26181363,PRJNA731152,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDC-FG-273430/2022, complete genome"
OV362279,Severe acute respiratory syndrome coronavirus 2,GenBank,,ERR8961417,,"SIB, Ch. des Mines 9",Switzerland,2022-01-09,AY.46.6,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,BE-IFIK-211213_os_64,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29890,partial,,,,Switzerland:BE,Switzerland,,Homo sapiens,,2021-12-07,SAMEA11978741,PRJEB43828,"Severe acute respiratory syndrome coronavirus 2 isolate hCoV-19/Switzerland/BE-IFIK-211213_os_64/2021 genome assembly, chromosome: 1"
OX171227,Severe acute respiratory syndrome coronavirus 2,GenBank,,,"Danish Covid-19 Genome,Consortium.","Artillerivej 5, 2300 Copenhagen S",Denmark,2022-07-07,BA.2.36,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29876,partial,,,,Denmark:Sjaelland,Denmark,,Homo sapiens,,2022-04-12,SAMEA110259790,PRJEB49401,"Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
ON654664,Severe acute respiratory syndrome coronavirus 2,GenBank,,SRR20581518,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Ca,H., Morrison,S., Gulvick,C., Sula,E., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2022-06-02,BA.2,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,true,TX-CDC-STM-MSC8AQBCU,Betacoronavirus pandemicum,Betacoronavirus,Coronaviridae,ssRNA(+),29850,complete,,,,USA: Texas,USA,TX,Homo sapiens,oronasopharynx,2022-05-19,SAMN28819092,PRJNA720050,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/TX-CDC-STM-MSC8AQBCU/2022, complete genome"
PP612539,Severe acute respiratory syndrome coronavirus 2,GenBank,,SRR15621074,"Amin,H., Wang,J., Su,M., Akther,S., Bologna,J., Rahat,A., Clabby,T., Thi,C., Silver,S., Chen,X., Chowdhury,T., Polanco,M., De La Cruz,N., Chowdhury,M., Olsen,A., Taki,F., Omoregie,E.","NYC DOHMH, Bureau of the Public Health Laboratory",USA,2024-04-09,B.1.1.7,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,NY-PRL-210419_02G02,Betacoronavirus pandemicum,Betacoronavirus,Coronaviridae,ssRNA(+),29726,partial,,,,USA,USA,,Homo sapiens,,2021-04-17,SAMN20988105,PRJNA704697,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NY-PRL-210419_02G02/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), and ORF6 protein (ORF6) genes, complete cds; ORF7a gene, complete sequence; ORF7b (ORF7b) gene, complete cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds"
OX097883,Severe acute respiratory syndrome coronavirus 2,GenBank,,,"Danish Covid-19 Genome,Consortium.","Artillerivej 5, 2300 Copenhagen S",Denmark,2022-06-19,BA.2,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29885,partial,,,,Denmark:Syddanmark,Denmark,,Homo sapiens,,2022-02-04,SAMEA14505201,PRJEB49401,"Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
OU963468,Severe acute respiratory syndrome coronavirus 2,GenBank,,ERR6856772,"Wynn,J., Hyland,M., The Lighthouse Lab in Alderley,Park., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,2021-11-08,AY.4,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29890,partial,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,2021-09-17,SAMEA10211862,PRJEB37886,"Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
OV920729,Severe acute respiratory syndrome coronavirus 2,GenBank,,,"Danish Covid-19 Genome,Consortium.","Artillerivej 5, 2300 Copenhagen S",Denmark,2022-02-18,AY.122,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29890,partial,,,,Denmark:Hovedstaden,Denmark,,Homo sapiens,,2021-07-16,SAMEA13023292,PRJEB49401,"Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
OX416205,Severe acute respiratory syndrome coronavirus 2,GenBank,,ERR10792079,"Fraser,D., Lee,S., Howes,R., The Rosalind Franklin,Laboratory., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,2023-01-25,BA.5,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29841,partial,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,2023-01-09,SAMEA112347391,PRJEB37886,"Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
MW985182,Severe acute respiratory syndrome coronavirus 2,GenBank,,SRR14981089,"Howard,D., Batra,D., Cook,P.W., Moser,K., Paskey,A., Caravas,J., Rambo-Martin,B., Morrison,S., Gulvick,C., Sammons,S., Unoarumhi,Y., Wagner,D., Schmerer,M., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Jain,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch",USA,2021-04-21,B.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,true,MN-CDC-LC0013044,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29712,partial,,,,USA: Minnesota,USA,MN,Homo sapiens,oronasopharynx,2021-02-01,SAMN19894811,PRJNA716984,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MN-CDC-LC0013044/2021 ORF1ab polyprotein (ORF1ab) and ORF1a polyprotein (ORF1ab) genes, partial cds; and surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
OM864369,Severe acute respiratory syndrome coronavirus 2,GenBank,,,"Harley,S.E., Laudadio,J., Henry,A., Morgan,C., Hendricks,S., Boileau,A., Williams,A., Stewart,T., Thurman,T.J., Bird,J.T., Byrum,S.D., Kennedy,J.L.","University of Arkansas for Medical Sciences, Department of Pathology and Laboratory Services",USA,2022-02-28,BA.1.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,22U011MD00703_2-9-2022,Betacoronavirus pandemicum,Betacoronavirus,Coronaviridae,ssRNA(+),29768,partial,,,,USA: AR,USA,AR,Homo sapiens,oronasopharynx,2022-01-11,SAMN26309785,PRJNA765540,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/22U011MD00703_2-9-2022/2022 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
OV981428,Severe acute respiratory syndrome coronavirus 2,GenBank,,ERR8668487,"The Lighthouse Lab in Milton,Keynes., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,2022-02-25,BA.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29873,partial,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,2022-02-05,SAMEA13061682,PRJEB37886,"Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
OM529662,Severe acute respiratory syndrome coronavirus 2,GenBank,,,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Gao,H., Li,M., Gao,J., Fierro,J., Sapra,B., Tsai,B., Meng,Y., Ng,D., Xie,J., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2022-02-05,BA.1.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,true,TX-CDC-FG-251455,Betacoronavirus pandemicum,Betacoronavirus,Coronaviridae,ssRNA(+),29795,partial,,,,USA: Texas,USA,TX,Homo sapiens,oronasopharynx,2022-01-24,SAMN25659421,PRJNA731152,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/TX-CDC-FG-251455/2022 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), and ORF3a protein (ORF3a) genes, complete cds; envelope protein (E) gene, partial cds; and membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
OP177329,Severe acute respiratory syndrome coronavirus 2,GenBank,,SRR20996724,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D., Sula,E.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2022-08-09,BA.5.2.16,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,true,SC-CDC-LC0805319,Betacoronavirus pandemicum,Betacoronavirus,Coronaviridae,ssRNA(+),29720,complete,,,,USA: South Carolina,USA,SC,Homo sapiens,oronasopharynx,2022-07-28,SAMN30203878,PRJNA716984,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/SC-CDC-LC0805319/2022, complete genome"
OY328863,Severe acute respiratory syndrome coronavirus 2,GenBank,,ERR7586164,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-18,AY.4,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29890,complete,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,2021-10-26,SAMEA11476623,PRJEB37886,"Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite"
OV291948,Severe acute respiratory syndrome coronavirus 2,GenBank,,ERR7630937,"Lighthouse Laboratory,Plymouth., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,2021-12-18,AY.4,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29890,partial,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,2021-11-28,SAMEA11554117,PRJEB37886,"Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
OL422108,Severe acute respiratory syndrome coronavirus 2,GenBank,,SRR16879894,"Linares-Perdomo,O.J.","Utah Public Health Laboratory Infectious Disease submission group, Utah Public Health Laboratory",USA,2021-11-09,unclassifiable,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,UT-UPHL-211105969274,Betacoronavirus pandemicum,Betacoronavirus,Coronaviridae,ssRNA(+),29311,partial,,,,USA,USA,,Homo sapiens,,2021-10-09,SAMN22992914,PRJNA614995,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-211105969274/2021 ORF1ab polyprotein (ORF1ab) gene, partial cds; ORF1a polyprotein (ORF1ab) gene, complete cds; surface glycoprotein (S), ORF3a protein (ORF3a), and envelope protein (E) genes, partial cds; membrane glycoprotein (M), ORF6 protein (ORF6), and ORF7a protein (ORF7a) genes, complete cds; and ORF7b (ORF7b), ORF8 protein (ORF8), and nucleocapsid phosphoprotein (N) genes, partial cds"
OP155047,Severe acute respiratory syndrome coronavirus 2,GenBank,,SRR20884548,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2022-08-04,BA.5.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,true,CA-CDC-QDX39123482,Betacoronavirus pandemicum,Betacoronavirus,Coronaviridae,ssRNA(+),29718,complete,,,,USA: California,USA,CA,Homo sapiens,oronasopharynx,2022-07-16,SAMN30146227,PRJNA716985,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDC-QDX39123482/2022, complete genome"
OV607030,Severe acute respiratory syndrome coronavirus 2,GenBank,,ERR7859601,"Fraser,D., Lee,S., Howes,R., The Rosalind Franklin,Laboratory., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,2022-01-18,AY.4.2.5,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29890,partial,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,2021-12-15,SAMEA12066638,PRJEB37886,"Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
OU416694,Severe acute respiratory syndrome coronavirus 2,GenBank,,ERR6313517,"The Lighthouse Lab in Milton,Keynes., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,2021-07-18,AY.5,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29890,partial,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,2021-06-28,SAMEA8978729,PRJEB37886,"Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
OK621560,Severe acute respiratory syndrome coronavirus 2,GenBank,,SRR16368029,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Clark,C., Campbell,P., Case,R., Ghorpade,V., Houdeshell,H., Kvalvaag,O., Nall,D., Sanders,E., Vest,A., Westlund,S., Hardison,M., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2021-10-25,AY.103,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,true,IA-CDC-ASC210284256,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29823,partial,,,,USA: Iowa,USA,IA,Homo sapiens,oronasopharynx,2021-09-17,SAMN22340838,PRJNA731148,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/IA-CDC-ASC210284256/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), and ORF7b (ORF7b) genes, complete cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds"
ON665666,Severe acute respiratory syndrome coronavirus 2,GenBank,,SRR19452532,"Bankers,L., Bogale,H.N., Hetherington-Rauth,M.C., Ir,D., Matzinger,S.R., Rossheim,A., Smith,A.","CDPHE SARS-CoV-2 submissions, Department of Microbiology",USA,2022-06-02,BA.2,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,true,CO-CDPHE-2103168494,Betacoronavirus pandemicum,Betacoronavirus,Coronaviridae,ssRNA(+),29750,partial,,,,USA,USA,,Homo sapiens,,2022-04-22,SAMN28770081,PRJNA686984,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CO-CDPHE-2103168494/2022 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
OW873172,Severe acute respiratory syndrome coronavirus 2,GenBank,,,,"RKI-OSEDA, Nordufer 20, 13353 Berlin",Germany,2022-05-17,BA.1.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29843,partial,,,,Germany:Europe/Germany/Saarland,Germany,,Homo sapiens,,2022-01-17,SAMEA13748103,PRJEB44987,"Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
OX850372,Severe acute respiratory syndrome coronavirus 2,GenBank,,,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-06-19,BA.5.2.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29844,complete,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,2022-08-07,SAMEA113035023,PRJEB37886,"Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite"
OX910679,Severe acute respiratory syndrome coronavirus 2,GenBank,,,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-06-21,FL.3,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29850,complete,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,2023-04-03,SAMEA113493623,PRJEB37886,"Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite"
MZ797923,Severe acute respiratory syndrome coronavirus 2,GenBank,,SRR15433084,"Howard,D., Batra,D., Cook,P.W., Moser,K., Paskey,A., Caravas,J., Rambo-Martin,B., Morrison,S., Gulvick,C., Sammons,S., Unoarumhi,Y., Wagner,D., Schmerer,M., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L., Livingston,K., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch",USA,2021-08-13,AY.25.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,true,FL-CDC-QDX27169321,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29769,partial,,,,USA: Florida,USA,FL,Homo sapiens,oronasopharynx,2021-07-24,SAMN20747460,PRJNA716985,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-CDC-QDX27169321/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), and ORF7b (ORF7b) genes, complete cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds"
